avg (temperature),max (temperature),min (temperature),avg (humidity),max (humidity),min (humidity),power,avg(wind speed),avg(local pressure),avg(cloud cover),avg(ground temperature),avg(evaporation volume),sun_rise,sun_set,sun_max,day_duration,night_duration,day_avg_temperature_app,night_avg_temperature_app,Nitrogen Dioxide Concentration (ppm),Ozone Concentration (ppm),Carbon Monoxide Concentration (ppm),Sulfur Dioxide Concentration (ppm),Particulate Matter (micrograms per cubic meter),Fine Particulate Matter (micrograms per cubic meter),AQI
,,,,,,,,,,21.500000000000014,,890.0,890.0,445.0,445.0,445.0,,,,,,,,,
,,,,,,,,,,21.700000000000014,,900.0,900.0,450.0,450.0,450.0,,,,,,,,,
,,,,,,,,,,21.900000000000016,,910.0,910.0,455.0,455.0,455.0,,,,,,,,,
,,,,,,,,,,22.100000000000016,,920.0,920.0,460.0,460.0,460.0,,,,,,,,,
,,,,,,,,,,22.300000000000015,,930.0,930.0,465.0,465.0,465.0,,,,,,,,,
,,,,,,,,,,22.500000000000018,,940.0,940.0,470.0,470.0,470.0,,,,,,,,,
,,,,,,,,,,22.700000000000017,,950.0,950.0,475.0,475.0,475.0,,,,,,,,,
,,,,,,,,,,22.900000000000016,,960.0,960.0,480.0,480.0,480.0,,,,,,,,,
,,,,,,,,,,23.100000000000016,,970.0,970.0,485.0,485.0,485.0,,,,,,,,,
,,,,,,,,,,23.300000000000015,,980.0,980.0,490.0,490.0,490.0,,,,,,,,,
,,,,,,,,,,23.500000000000018,,990.0,990.0,495.0,495.0,495.0,,,,,,,,,
,,,,,,,,,,23.700000000000017,,1000.0,1000.0,500.0,500.0,500.0,,,,,,,,,
,,,,,,,,,,23.900000000000016,,1010.0,1010.0,505.0,505.0,505.0,,,,,,,,,
,,,,,,,,,,24.10000000000002,,1020.0,1020.0,510.0,510.0,510.0,,,,,,,,,
,,,,,,,,,,24.30000000000002,,1030.0,1030.0,515.0,515.0,515.0,,,,,,,,,
,,,,,,,,,,24.500000000000018,,1040.0,1040.0,520.0,520.0,520.0,,,,,,,,,
,,,,,,,,,,24.700000000000017,,1050.0,1050.0,525.0,525.0,525.0,,,,,,,,,
,,,,,,,,,,24.900000000000016,,1060.0,1060.0,530.0,530.0,530.0,,,,,,,,,
,,,,,,,,,,25.10000000000002,,1070.0,1070.0,535.0,535.0,535.0,,,,,,,,,
,,,,,,,,,,25.30000000000002,,1080.0,1080.0,540.0,540.0,540.0,,,,,,,,,
,,,,,,,,,,25.500000000000018,,1090.0,1090.0,545.0,545.0,545.0,,,,,,,,,
,,,,,,,,,,25.70000000000002,,1100.0,1100.0,550.0,550.0,550.0,,,,,,,,,
,,,,,,,,,,25.90000000000002,,1110.0,1110.0,555.0,555.0,555.0,,,,,,,,,
,,,,,,,,,,26.10000000000002,,1120.0,1120.0,560.0,560.0,560.0,,,,,,,,,
,,,,,,,,,,26.30000000000002,,1130.0,1130.0,565.0,565.0,565.0,,,,,,,,,
,,,,,,,,,,26.500000000000018,,1140.0,1140.0,570.0,570.0,570.0,,,,,,,,,
,,,,,,,,,,26.70000000000002,,1150.0,1150.0,575.0,575.0,575.0,,,,,,,,,
,,,,,,,,,,,,1160.0,1160.0,580.0,580.0,580.0,,,,,,,,,
,,,,,,,,,,,,1170.0,1170.0,585.0,585.0,585.0,,,,,,,,,
,,,,,,,,,,,,1180.0,1180.0,590.0,590.0,590.0,,,,,,,,,
,,,,,,,,,,,,1190.0,1190.0,595.0,595.0,595.0,,,,,,,,,
,,,,,,,,,,,,1200.0,1200.0,600.0,600.0,600.0,,,,,,,,,
,,,,,,,,,,,,1210.0,1210.0,605.0,605.0,605.0,,,,,,,,,
,,,,,,,,,,,,1220.0,1220.0,610.0,610.0,610.0,,,,,,,,,
,,,,,,,,,,,,1230.0,1230.0,615.0,615.0,615.0,,,,,,,,,
,,,,,,,,,,,,1240.0,1240.0,620.0,620.0,620.0,,,,,,,,,
,,,,,,,,,,,,1250.0,1250.0,625.0,625.0,625.0,,,,,,,,,
,,,,,,,,,,,,1260.0,1260.0,630.0,630.0,630.0,,,,,,,,,
,,,,,,,,,,,,1270.0,1270.0,635.0,635.0,635.0,,,,,,,,,
,,,,,,,,,,,,1280.0,1280.0,640.0,640.0,640.0,,,,,,,,,
,,,,,,,,,,,,1290.0,1290.0,645.0,645.0,645.0,,,,,,,,,
,,,,,,,,,,,,1300.0,1300.0,650.0,650.0,650.0,,,,,,,,,
,,,,,,,,,,,,1310.0,1310.0,655.0,655.0,655.0,,,,,,,,,
,,,,,,,,,,,,1320.0,1320.0,660.0,660.0,660.0,,,,,,,,,
,,,,,,,,,,,,1330.0,1330.0,665.0,665.0,665.0,,,,,,,,,
,,,,,,,,,,,,1340.0,1340.0,670.0,670.0,670.0,,,,,,,,,
,,,,,,,,,,,,1350.0,1350.0,675.0,675.0,675.0,,,,,,,,,
,,,,,,,,,,,,1360.0,1360.0,680.0,680.0,680.0,,,,,,,,,
,,,,,,,,,,,,1370.0,1370.0,685.0,685.0,685.0,,,,,,,,,
,,,,,,,,,,,,1380.0,1380.0,690.0,690.0,690.0,,,,,,,,,
,,,,,,,,,,,,1390.0,1390.0,695.0,695.0,695.0,,,,,,,,,
,,,,,,,,,,,,1400.0,1400.0,700.0,700.0,700.0,,,,,,,,,
,,,,,,,,,,,,1410.0,1410.0,705.0,705.0,705.0,,,,,,,,,
,,,,,,,,,,,,1420.0,1420.0,710.0,710.0,710.0,,,,,,,,,
,,,,,,,,,,,,1430.0,1430.0,715.0,715.0,715.0,,,,,,,,,
,,,,,,,,,,,,,,720.0,720.0,720.0,,,,,,,,,
,,,,,,,,,,,,,,725.0,725.0,725.0,,,,,,,,,
,,,,,,,,,,,,,,730.0,730.0,730.0,,,,,,,,,
,,,,,,,,,,,,,,735.0,735.0,735.0,,,,,,,,,
,,,,,,,,,,,,,,740.0,740.0,740.0,,,,,,,,,
,,,,,,,,,,,,,,745.0,745.0,745.0,,,,,,,,,
,,,,,,,,,,,,,,750.0,750.0,750.0,,,,,,,,,
,,,,,,,,,,,,,,755.0,755.0,755.0,,,,,,,,,
,,,,,,,,,,,,,,760.0,760.0,760.0,,,,,,,,,
,,,,,,,,,,,,,,765.0,765.0,765.0,,,,,,,,,
