74,1157,627,813,12.0,0
82,1158,625,815,12.0,0
82,1158,624,816,13.0,0
152,1159,621,819,22.0,0
154,1160,619,821,20.0,0
95,1161,617,823,16.0,0
72,1162,615,825,12.0,0
57,1163,613,827,7.0,0
87,1164,611,829,17.0,0
74,1165,608,832,14.0,0
122,1166,606,834,11.0,0
156,1167,604,836,17.0,0
399,1168,602,838,58.0,0
468,1168,601,839,66.0,0
137,1169,599,841,12.0,0
68,1170,597,843,9.0,0
63,1171,595,845,8.0,0
70,1172,593,847,10.0,0
115,1173,591,849,23.0,0
134,1174,590,850,30.0,0
112,1175,588,852,30.0,0
21,1175,587,853,3.0,0
33,1176,585,855,3.0,0
78,1177,583,857,13.0,0
87,1178,582,858,18.0,0
72,1179,580,860,12.0,0
50,1180,578,862,6.0,0
76,1180,578,862,14.0,0
87,1181,576,864,19.0,0
186,1182,574,866,24.0,0
172,1183,573,867,21.0,0
117,1184,571,869,13.0,0
107,1184,571,869,16.0,0
95,1185,569,871,17.0,0
68,1186,568,872,10.0,0
74,1186,567,873,12.0,0
93,1187,566,874,16.0,0
102,1188,564,876,21.0,0
127,1188,564,876,27.0,1
89,1189,563,877,17.0,0
80,1190,561,879,11.0,0
119,1190,561,879,23.0,0
152,1191,560,880,34.0,0
97,1191,560,880,17.0,0
110,1192,559,881,24.0,0
112,1192,558,882,25.0,0
137,1193,557,883,34.0,0
70,1193,557,883,13.0,0
72,1194,556,884,12.0,0
91,1194,556,884,20.0,1
107,1195,555,885,25.0,0
74,1195,555,885,15.0,0
38,1195,555,885,4.0,0
59,1196,554,886,9.0,0
57,1196,555,885,10.0,0
110,1196,555,885,26.0,0
129,1197,554,886,32.0,0
105,1197,554,886,25.0,0
72,1197,554,886,12.0,0
63,1197,555,885,12.0,0
91,1197,555,885,20.0,0
102,1197,555,885,25.0,0
68,1197,555,885,14.0,0
66,1197,556,884,12.0,1
78,1197,556,884,15.0,0
89,1197,557,883,22.0,0
97,1197,557,883,24.0,0
99,1197,557,883,24.0,1
78,1197,558,882,17.0,0
46,1197,558,882,6.0,0
29,1197,559,881,4.0,0
68,1197,559,881,12.0,0
112,1196,561,879,26.0,1
80,1196,562,878,18.0,0
72,1196,562,878,15.0,1
61,1196,563,877,10.0,0
78,1195,564,876,18.0,0
87,1195,565,875,21.0,0
87,1194,567,873,20.0,1
93,1194,567,873,21.0,1
72,1194,568,872,14.0,1
66,1193,570,870,12.0,1
63,1193,570,870,11.0,0
55,1192,572,868,9.0,1
50,1191,574,866,7.0,0
55,1191,575,865,8.0,1
68,1190,576,864,11.0,1
68,1189,578,862,13.0,1
74,1189,579,861,16.0,1
82,1188,581,859,20.0,1
78,1187,582,858,19.0,1
68,1186,584,856,16.0,1
68,1186,585,855,14.0,0
82,1185,587,853,20.0,1
95,1184,589,851,27.0,1
124,1183,591,849,36.0,1
82,1182,592,848,20.0,1
74,1181,594,846,16.0,1
80,1180,596,844,21.0,0
57,1179,598,842,8.0,0
68,1178,600,840,11.0,1
74,1177,602,838,14.0,1
76,1176,603,837,16.0,1
66,1175,605,835,14.0,1
57,1174,607,833,9.0,1
63,1173,609,831,12.0,1
50,1172,611,829,6.0,1
61,1171,613,827,10.0,1
97,1169,615,825,26.0,1
102,1168,617,823,28.0,1
80,1167,619,821,19.0,1
53,1166,621,819,9.0,0
42,1165,623,817,7.0,1
63,1163,626,814,13.0,1
57,1162,628,812,10.0,1
46,1161,629,811,6.0,1
55,1159,632,808,9.0,0
61,1158,634,806,12.0,0
53,1157,636,804,8.0,0
76,1155,639,801,17.0,0
78,1154,641,799,17.0,0
46,1153,643,797,6.0,0
59,1151,645,795,8.0,0
107,1150,647,793,23.0,0
91,1148,650,790,17.0,0
95,1147,652,788,19.0,0
84,1146,654,786,19.0,0
102,1144,657,783,25.0,0
84,1143,658,782,19.0,0
25,1141,661,779,1.0,0
50,1140,663,777,3.0,0
53,1138,666,774,3.0,0
38,1137,668,772,2.0,0
42,1135,671,769,2.0,0
55,1134,672,768,3.0,0
38,1132,675,765,2.0,0
42,1131,677,763,2.0,0
76,1129,680,760,3.0,1
87,1128,682,758,18.0,0
87,1126,685,755,21.0,1
68,1125,686,754,14.0,0
76,1123,689,751,15.0,0
63,1121,692,748,10.0,0
55,1120,694,746,7.0,0
42,1118,697,743,5.0,0
38,1117,699,741,5.0,0
38,1115,701,739,5.0,0
46,1114,703,737,6.0,0
46,1112,706,734,7.0,0
57,1111,708,732,9.0,0
